Service,Region,Subservice,Detail,Cost_Month1,Cost_Month2,Difference
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-INT-IA-ByteHrs,"$0.0135 per GB-Month of storage used in Intelligent-Tiering, Infrequent Access Tier",179.97,167.2,12.77000000000001
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-SIA-ByteHrs,,1629.24,1573.32,55.92000000000007
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-SIA-ByteHrs,$0.0135 per GB-Month of storage used in Standard-Infrequent Access,1629.24,1573.32,55.92000000000007
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-SIA-SmObjects,,15.31,15.02,0.2900000000000009
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service EUC1-TimedStorage-SIA-SmObjects,$0.0135 per GB-Month of storage used for small objects,15.31,15.02,0.2900000000000009
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service RestoreObject,,5.73,19.2,-13.469999999999999
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service RestoreObject,$0.012 per GB - Standard retrieval fee,1.9,7.52,-5.619999999999999
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service RestoreObject,"$0.06 per 1,000 Glacier Requests",3.83,11.68,-7.85
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service S3-GlacierTransition,,36.56,160.78,-124.22
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service S3-GlacierTransition,"$0.036 per 1,000 Glacier Requests",36.56,160.78,-124.22
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service S3-INTTransition,,145.95,142.14,3.8100000000000023
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service S3-INTTransition,"$0.01 per 1,000 transitions to Intelligent Tiering",145.95,142.14,3.8100000000000023
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service StorageLens,,155.38,150.05,5.329999999999984
Simple Storage Service,EU (Frankfurt),Amazon Simple Storage Service StorageLens,$0.20 per MM objects per monthfor the first 25B objects for Storage Lens to Europe (Frankfurt),155.38,150.05,5.329999999999984
Simple Storage Service,EU (Ireland),,,0.05,0.05,0.0
Simple Storage Service,EU (Ireland),Amazon Simple Storage Service EU-TimedStorage-ByteHrs,,0.05,0.05,0.0
Simple Storage Service,EU (Ireland),Amazon Simple Storage Service EU-TimedStorage-ByteHrs,$0.023 per GB - first 50 TB / month of storage used,0.05,0.05,0.0
Simple Storage Service,US East (N. Virginia),,,2.84,2.6,0.23999999999999977
Simple Storage Service,US East (N. Virginia),Amazon Simple Storage Service Requests-Tier1,,1.55,1.39,0.16000000000000014
Simple Storage Service,US East (N. Virginia),Amazon Simple Storage Service Requests-Tier1,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",1.55,1.39,0.16000000000000014
Simple Storage Service,US East (N. Virginia),Amazon Simple Storage Service Requests-Tier2,,0.38,0.33,0.04999999999999999
Simple Storage Service,US East (N. Virginia),Amazon Simple Storage Service Requests-Tier2,"$0.004 per 10,000 GET and all other requests",0.38,0.33,0.04999999999999999
Simple Storage Service,US East (N. Virginia),Amazon Simple Storage Service TimedStorage-ByteHrs,,0.91,0.88,0.030000000000000027
Simple Storage Service,US East (N. Virginia),Amazon Simple Storage Service TimedStorage-ByteHrs,$0.023 per GB - first 50 TB / month of storage used,0.91,0.88,0.030000000000000027
CloudFront,,,,3074.67,2859.82,214.8499999999999
CloudFront,,Africa (Cape Town),,1.87,0.6,1.27
CloudFront,,Amazon CloudFront AP-Requests-HTTPS-Proxy,,0.31,0.1,0.21
CloudFront,,Amazon CloudFront AP-Requests-HTTPS-Proxy,"$0.0120 per 10,000 Proxy HTTPS Requests (Asia)",0.31,0.1,0.21
CloudFront,,Amazon CloudFront AU-Requests-HTTPS-Proxy,,0.06,0.05,0.009999999999999995
CloudFront,,Amazon CloudFront AU-Requests-HTTPS-Proxy,"$0.0125 per 10,000 Proxy HTTPS Requests (Australia)",0.06,0.05,0.009999999999999995
CloudFront,,Amazon CloudFront CA-Requests-HTTPS-Proxy,,0.08,0.11,-0.03
CloudFront,,Amazon CloudFront CA-Requests-HTTPS-Proxy,"$0.0100 per 10,000 Proxy HTTPS Requests (Canada)",0.08,0.11,-0.03
CloudFront,,Amazon CloudFront IN-Requests-HTTPS-Proxy,,0.26,0.22,0.04000000000000001
CloudFront,,Amazon CloudFront IN-Requests-HTTPS-Proxy,"$0.0120 per 10,000 Proxy HTTPS Requests (India)",0.26,0.22,0.04000000000000001
CloudFront,,Amazon CloudFront JP-Requests-HTTPS-Proxy,,0.01,0.02,-0.01
CloudFront,,Amazon CloudFront JP-Requests-HTTPS-Proxy,"$0.0120 per 10,000 Proxy HTTPS Requests (Japan)",0.01,0.02,-0.01
CloudFront,,Amazon CloudFront ZA-Requests-HTTPS-Proxy,,0.5,0.16,0.33999999999999997
CloudFront,,Amazon CloudFront ZA-Requests-HTTPS-Proxy,"$0.0120 per 10,000 Proxy HTTPS Requests (South Africa)",0.5,0.16,0.33999999999999997
CloudFront,,Asia Pacific (Mumbai),,1.1,0.97,0.13000000000000012
CloudFront,,Asia Pacific (Singapore),,1.24,0.54,0.7
CloudFront,,Asia Pacific (Sydney),,0.37,0.32,0.04999999999999999
CloudFront,,Asia Pacific (Tokyo),,0.1,0.13,-0.03
CloudFront,,Bandwidth,,0.73,0.77,-0.040000000000000036
CloudFront,,Bandwidth,"$ 0.0345 per GB from 0 to 10,240 GB - Download bandwidth consumed in GigaBytes (CA)",0,0.77,-0.77
CloudFront,,Bandwidth,$0.0345 per GB data transfer out (Canada),0.73,0,0.73
CloudFront,,Bandwidth,$0.060 per GB - All data transfer out to Origin (Asia),0.04,0.01,0.03
CloudFront,,Bandwidth,$0.060 per GB - All data transfer out to Origin (South Africa),0.06,0.01,0.049999999999999996
CloudFront,,Bandwidth,$0.08 per GB - All data transfer out to Origin (Australia),0.01,0,0.01
CloudFront,,Bandwidth,$0.109 per GB - first 10 TB / month data transfer out (India),0.78,0.7,0.08000000000000007
CloudFront,,Bandwidth,$0.110 per GB - first 10 TB / month data transfer out,1.31,0.43,0.8800000000000001
CloudFront,,Bandwidth,$0.114 per GB - first 10 TB / month data transfer out,0.09,0.11,-0.020000000000000004
CloudFront,,Bandwidth,$0.120 per GB - first 10 TB / month data transfer out,0.89,0.43,0.46
CloudFront,,Bandwidth,$0.16 per GB - All data transfer out to Origin (India),0.06,0.05,0.009999999999999995
CloudFront,,Canada (Central),,0.81,0.88,-0.06999999999999995
CloudFront,EU (Frankfurt),,,342.99,301.35,41.639999999999986
CloudFront,EU (Frankfurt),Amazon CloudFront EUC1-Lambda-Edge-GB-Second,,0.03,0.03,0.0
CloudFront,EU (Frankfurt),Amazon CloudFront EUC1-Lambda-Edge-GB-Second,$0.00005001 per Lambda-GB-Second for Lambda-Edge-GB-Second in EU (Frankfurt),0.03,0.03,0.0
CloudFront,EU (Frankfurt),Amazon CloudFront EUC1-Lambda-Edge-Request,,1.07,1.07,0.0
CloudFront,EU (Frankfurt),Amazon CloudFront EUC1-Lambda-Edge-Request,$6.0E-7 per Request for Lambda-Edge-Request in EU (Frankfurt),1.07,1.07,0.0
CloudFront,EU (Frankfurt),Amazon CloudFront EUC1-Requests-OriginShield,,341.89,300.25,41.639999999999986
CloudFront,EU (Frankfurt),Amazon CloudFront EUC1-Requests-OriginShield,"$0.009 per 10,000 Origin Shield Requests",341.89,300.25,41.639999999999986
CloudFront,EU (Ireland),,,2667.43,2495.4,172.02999999999975
CloudFront,EU (Ireland),Amazon CloudFront EU-Lambda-Edge-Request,,0.08,0.1,-0.020000000000000004
CloudFront,EU (Ireland),Amazon CloudFront EU-Lambda-Edge-Request,$6.0E-7 per Request for Lambda-Edge-Request in EU (Ireland),0.08,0.1,-0.020000000000000004
CloudFront,EU (Ireland),Amazon CloudFront EU-Requests-HTTPS-Proxy,,353.06,317.72,35.339999999999975
CloudFront,EU (Ireland),Amazon CloudFront EU-Requests-HTTPS-Proxy,"$0.0120 per 10,000 Proxy HTTPS Requests (Europe)",353.06,317.72,35.339999999999975
CloudFront,EU (Ireland),Amazon CloudFront ME-Requests-HTTPS-Proxy,,0.44,0.82,-0.37999999999999995
CloudFront,EU (Ireland),Amazon CloudFront ME-Requests-HTTPS-Proxy,"$0.0120 per 10,000 Proxy HTTPS Requests (Middle East)",0.44,0.82,-0.37999999999999995
CloudFront,EU (Ireland),Amazon CloudFront SA-Requests-HTTPS-Proxy,,0.04,0.04,0.0
CloudFront,EU (Ireland),Amazon CloudFront SA-Requests-HTTPS-Proxy,"$0.0220 per 10,000 Proxy HTTPS Requests (South America)",0.04,0.04,0.0
CloudFront,EU (Ireland),Bandwidth,,0.12,0.11,0.009999999999999995
CloudFront,EU (Ireland),Bandwidth,"$ 0.0345 per GB from 0 to 10,240 GB - Download bandwidth consumed in GigaBytes (Europe)",0,353.28,-353.28
CloudFront,EU (Ireland),Bandwidth,"$ 0.0345 per GB from 10,240 to 51,200 GB - Download bandwidth consumed in GigaBytes (Europe)",0,1413.12,-1413.12
CloudFront,EU (Ireland),Bandwidth,"$ 0.0345 per GB from 51,200 to 153,600 GB - Download bandwidth consumed in GigaBytes (Europe)",0,397.92,-397.92
CloudFront,EU (Ireland),Bandwidth,$0.020 per GB - All data transfer out to Origin (Europe),14.73,13.26,1.4700000000000006
CloudFront,EU (Ireland),Bandwidth,$0.0345 per GB data transfer out (Europe),353.28,0,353.28
CloudFront,EU (Ireland),Bandwidth,$0.060 per GB - All data transfer out to Origin (Middle East),0.04,0.08,-0.04
CloudFront,EU (Ireland),Bandwidth,$0.110 per GB - first 10 TB / month data transfer out,0.12,0.11,0.009999999999999995
CloudFront,EU (Ireland),Middle East (Bahrain),,1.8,3.43,-1.6300000000000001
CloudFront,EU (Ireland),South America (Sao Paulo),,0.16,0.15,0.010000000000000009
CloudFront,US East (N. Virginia),,,56.72,55.95,0.769999999999996
CloudFront,US East (N. Virginia),Amazon CloudFront Lambda-Edge-Request,,0.08,0.1,-0.020000000000000004
CloudFront,US East (N. Virginia),Amazon CloudFront Lambda-Edge-Request,$6.0E-7 per Request for in US East (N. Virginia),0.08,0.1,-0.020000000000000004
CloudFront,US East (N. Virginia),Amazon CloudFront US-Requests-HTTPS-Proxy,,7.65,7.0,0.6500000000000004
CloudFront,US East (N. Virginia),Amazon CloudFront US-Requests-HTTPS-Proxy,"$0.0100 per 10,000 Proxy HTTPS Requests (US)",7.65,7.0,0.6500000000000004
CloudFront,US East (N. Virginia),Amazon CloudFront USE1-Requests-OriginShield,,0.01,0,0.01
CloudFront,US East (N. Virginia),Amazon CloudFront USE1-Requests-OriginShield,"$0.0075 per 10,000 Origin Shield Requests",0.01,0,0.01
CloudFront,US East (N. Virginia),Bandwidth,,48.98,48.85,0.12999999999999545
CloudFront,US East (N. Virginia),Bandwidth,"$ 0.0345 per GB from 0 to 10,240 GB - Download bandwidth consumed in GigaBytes (US)",0,48.58,-48.58
CloudFront,US East (N. Virginia),Bandwidth,$0.020 per GB - All data transfer out to Origin (US),0.3,0.27,0.02999999999999997
CloudFront,US East (N. Virginia),Bandwidth,$0.0345 per GB data transfer out (United States),48.68,0,48.68
CloudFront,US West (Oregon),,,0.08,0.1,-0.020000000000000004
CloudFront,US West (Oregon),Amazon CloudFront USW2-Lambda-Edge-Request,,0.08,0.1,-0.020000000000000004
CloudFront,US West (Oregon),Amazon CloudFront USW2-Lambda-Edge-Request,$6.0E-7 per Request for Lambda-Edge-Request in US West (Oregon),0.08,0.1,-0.020000000000000004
Elastic Transcoder,,,,2665.33,2446.87,218.46000000000004
Elastic Transcoder,EU (Ireland),,,2665.33,2446.87,218.46000000000004
Elastic Transcoder,EU (Ireland),Amazon Elastic Transcoder EU-ets-hd-success,,2572.88,2364.56,208.32000000000016
Elastic Transcoder,EU (Ireland),Amazon Elastic Transcoder EU-ets-sd-success,,92.45,82.31,10.14
Elastic Transcoder,EU (Ireland),EU (Ireland) $0.017 per minute for SD content transcoded using Amazon Elastic Transcoder,,92.45,82.31,10.14
Elastic Transcoder,EU (Ireland),EU (Ireland) $0.034 per minute for HD content transcoded using Amazon Elastic Transcoder,,2572.88,2364.56,208.32000000000016
Savings Plans for AWS Compute usage,,,,2380.8,2304.0,76.80000000000018
Savings Plans for AWS Compute usage,,3 year No Upfront Compute Savings Plan,,2380.8,2304.0,76.80000000000018
Savings Plans for AWS Compute usage,,Any,,2380.8,2304.0,76.80000000000018
Savings Plans for AWS Compute usage,,Any,Compute Savings Plans,2380.8,2304.0,76.80000000000018
Simple Email Service,,,,2153.24,2126.87,26.36999999999989
Simple Email Service,EU (Frankfurt),,,2153.24,2126.87,26.36999999999989
Simple Email Service,EU (Frankfurt),Amazon Simple Email Service Send,,2153.24,2126.87,26.36999999999989
Simple Email Service,EU (Frankfurt),Cost per GB of attachments EUC1,,7.27,6.88,0.3899999999999997
Simple Email Service,EU (Frankfurt),Cost per recipient of SendEmail or SendRawEmail EC2 EUC1,,2145.97,2119.99,25.980000000000018
Virtual Private Cloud,,,,1513.22,1443.02,70.20000000000005
Virtual Private Cloud,EU (Frankfurt),,,1509.5,1439.42,70.07999999999993
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud ClientVPNConnections,,224.7,220.97,3.7299999999999898
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud ClientVPNConnections,$0.05 per Client VPN Connection Hour,224.7,220.97,3.7299999999999898
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud ClientVPNEndpoints,,148.8,144.0,4.800000000000011
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud ClientVPNEndpoints,$0.1 per Client VPN Endpoint Association Hour,148.8,144.0,4.800000000000011
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud CreateVpnConnection,,111.6,108.0,3.5999999999999943
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud CreateVpnConnection,$0.05 per VPN Connection-Hour,111.6,108.0,3.5999999999999943
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud Public IPv4 Addresses,,502.58,498.44,4.139999999999986
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud Public IPv4 Addresses,$0.005 per Idle public IPv4 address per hour,69.3,70.77,-1.4699999999999989
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud Public IPv4 Addresses,$0.005 per In-use public IPv4 address per hour,433.28,427.67,5.609999999999957
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud TransitGatewayVPC,,378.06,328.94,49.120000000000005
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud TransitGatewayVPC,$0.02 per GB Data Processed by Transit Gateway VPC Attachment,11.58,10.04,1.540000000000001
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud TransitGatewayVPC,$0.06 per Transit Gateway VPC Attachment Hour,366.48,318.9,47.58000000000004
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud TransitGatewayVPN,,90.17,87.17,3.0
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud TransitGatewayVPN,$0.02 per GB Data Processed by Transit Gateway VPN Attachment,0.89,0.77,0.12
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud TransitGatewayVPN,$0.06 per Transit Gateway VPN Attachment Hour,89.28,86.4,2.8799999999999955
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud VpcEndpoint,,53.59,51.9,1.6900000000000048
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud VpcEndpoint,$0.01 per GB for upto 1 PB monthly data processed by VPC Endpoints,0.02,0.06,-0.039999999999999994
Virtual Private Cloud,EU (Frankfurt),Amazon Virtual Private Cloud VpcEndpoint,$0.012 per VPC Endpoint Hour,53.57,51.84,1.7299999999999969
Virtual Private Cloud,US East (N. Virginia),,,3.72,3.6,0.1200000000000001
Virtual Private Cloud,US East (N. Virginia),Amazon Virtual Private Cloud Public IPv4 Addresses,,3.72,3.6,0.1200000000000001
Virtual Private Cloud,US East (N. Virginia),Amazon Virtual Private Cloud Public IPv4 Addresses,$0.005 per In-use public IPv4 address per hour,3.72,3.6,0.1200000000000001
Elastic Load Balancing,,,,1428.21,1339.53,88.68000000000006
Elastic Load Balancing,EU (Frankfurt),,,1428.21,1339.53,88.68000000000006
Elastic Load Balancing,EU (Frankfurt),Elastic Load Balancing - Application,,1295.27,1211.39,83.87999999999988
Elastic Load Balancing,EU (Frankfurt),Elastic Load Balancing - Application,$0.008 per used Application load balancer capacity unit-hour (or partial hour),893.51,822.54,70.97000000000003
Elastic Load Balancing,EU (Frankfurt),Elastic Load Balancing - Application,$0.027 per Application LoadBalancer-hour (or partial hour),401.76,388.85,12.909999999999968
Elastic Load Balancing,EU (Frankfurt),Elastic Load Balancing - Classic,,112.85,108.7,4.1499999999999915
Elastic Load Balancing,EU (Frankfurt),Elastic Load Balancing - Classic,$0.008 per GB Data Processed by the LoadBalancer,1.25,0.7,0.55
Elastic Load Balancing,EU (Frankfurt),Elastic Load Balancing - Classic,$0.030 per LoadBalancer-hour (or partial hour),111.6,108.0,3.5999999999999943
Elastic Load Balancing,EU (Frankfurt),Elastic Load Balancing - Network,,20.09,19.44,0.6499999999999986
Elastic Load Balancing,EU (Frankfurt),Elastic Load Balancing - Network,$0.0270 per Network LoadBalancer-hour (or partial hour),20.09,19.44,0.6499999999999986
ElastiCache,,,,1402.76,1160.64,242.1199999999999
ElastiCache,EU (Frankfurt),,,1402.76,1160.64,242.1199999999999
ElastiCache,EU (Frankfurt),Amazon ElastiCache for Redis,,398.36,188.64,209.72000000000003
ElastiCache,EU (Frankfurt),Amazon ElastiCache for Redis,$0.018 per T4G Micro Cache node-hour (or partial hour) running Redis,32.8,25.92,6.8799999999999955
ElastiCache,EU (Frankfurt),Amazon ElastiCache for Redis,$0.019 per T3 Micro Cache node-hour (or partial hour) running Redis,28.27,27.36,0.9100000000000001
ElastiCache,EU (Frankfurt),Amazon ElastiCache for Redis,$0.036 per T4G Small Cache node-hour (or partial hour) running Redis,31.46,25.92,5.539999999999999
ElastiCache,EU (Frankfurt),Amazon ElastiCache for Redis,$0.072 per T4G Medium Cache node-hour (or partial hour) running Redis,30.1,0,30.1
ElastiCache,EU (Frankfurt),Amazon ElastiCache for Redis,$0.076 per T3 Medium Cache node-hour (or partial hour) running Redis,82.08,109.44,-27.36
ElastiCache,EU (Frankfurt),Amazon ElastiCache for Redis,$0.988 per Memory optimized r6g.2xlarge node hour running Redis,193.65,0,193.65
ElastiCache,EU (Frankfurt),Amazon ElastiCache for Redis Reserved Instances,,1004.4,972.0,32.39999999999998
ElastiCache,EU (Frankfurt),"Redis, cache.r6g.2xlarge reserved instance applied","$USD 0.675 hourly fee per Redis, cache.r6g.2xlarge instance",1004.4,972.0,32.39999999999998
DynamoDB,,,,1510.86,1217.98,292.8799999999999
DynamoDB,EU (Frankfurt),,,1509.41,1216.65,292.76
DynamoDB,EU (Frankfurt),Amazon DynamoDB,,211.68,210.66,1.0200000000000102
DynamoDB,EU (Frankfurt),Amazon DynamoDB,$0.0001586 per hour for units of read capacity beyond the free tier,21.03,21.05,-0.019999999999999574
DynamoDB,EU (Frankfurt),Amazon DynamoDB,$0.000793 per hour for units of write capacity beyond the free tier,190.65,189.61,1.039999999999992
DynamoDB,EU (Frankfurt),Amazon DynamoDB EUC1-TimedPITRStorage-ByteHrs,,9.23,7.61,1.62
DynamoDB,EU (Frankfurt),Amazon DynamoDB EUC1-TimedPITRStorage-ByteHrs,$0.2448 per GB-Month of storage used for DynamoDB PITR backup,9.23,7.61,1.62
DynamoDB,EU (Frankfurt),Amazon DynamoDB EUC1-TimedStorage-ByteHrs,,44.31,37.79,6.520000000000003
DynamoDB,EU (Frankfurt),Amazon DynamoDB EUC1-TimedStorage-ByteHrs,$0.306 per GB-Month of storage used beyond first 25 free GB-Months,44.31,37.79,6.520000000000003
DynamoDB,EU (Frankfurt),Amazon DynamoDB PayPerRequestThroughput,,1244.19,960.59,283.6
DynamoDB,EU (Frankfurt),Amazon DynamoDB PayPerRequestThroughput,$0.305 per million read request units (EU Central(Frankfurt)),175.78,86.86,88.92
DynamoDB,EU (Frankfurt),Amazon DynamoDB PayPerRequestThroughput,$1.525 per million write request units (EU Central(Frankfurt)),1068.41,873.73,194.68000000000006
DynamoDB,US East (N. Virginia),,,1.45,1.33,0.11999999999999988
DynamoDB,US East (N. Virginia),Amazon DynamoDB,,1.45,1.33,0.11999999999999988
DynamoDB,US East (N. Virginia),Amazon DynamoDB,$0.00013 per hour for units of read capacity beyond the free tier,1.45,1.33,0.11999999999999988
CloudWatch,,,,1229.97,1013.44,216.52999999999997
CloudWatch,,AmazonCloudWatch APS3-TimedStorage-ByteHrs,,0.01,0.01,0.0
CloudWatch,,AmazonCloudWatch APS3-TimedStorage-ByteHrs,$0.03 per GB-mo of log storage - Asia Pacific (Mumbai),0.01,0.01,0.0
CloudWatch,,AmazonCloudWatch DashboardHour,,24.0,24.0,0.0
CloudWatch,,AmazonCloudWatch DashboardHour,$3.00 per Dashboard per Month,21.0,21.0,0.0
CloudWatch,,AmazonCloudWatch DashboardHour,$3.00 per Dashboard per Month (>50 metrics),3.0,3.0,0.0
CloudWatch,,Any,,24.0,24.0,0.0
CloudWatch,,Asia Pacific (Mumbai),,0.01,0.01,0.0
CloudWatch,EU (Frankfurt),,,1201.32,984.76,216.55999999999995
CloudWatch,EU (Frankfurt),Amazon CloudWatch,,223.34,201.04,22.30000000000001
CloudWatch,EU (Frankfurt),Amazon CloudWatch,"$0.01 per 1,000 metrics requested using GetMetricData API - EU (Frankfurt)",141.8,120.0,21.80000000000001
CloudWatch,EU (Frankfurt),Amazon CloudWatch,$0.10 per alarm metric month (standard resolution) - EU (Frankfurt),32.17,33.67,-1.5
CloudWatch,EU (Frankfurt),Amazon CloudWatch,"$0.30 per metric-month for the first 10,000 metrics - EU (Frankfurt)",44.37,42.37,2.0
CloudWatch,EU (Frankfurt),Amazon CloudWatch,$0.50 per rule per month for CW-Rule-DynamoDB in EU (Frankfurt),5.0,5.0,0.0
CloudWatch,EU (Frankfurt),AmazonCloudWatch EUC1-S3-Egress-Bytes,,84.65,9.26,75.39
CloudWatch,EU (Frankfurt),AmazonCloudWatch EUC1-S3-Egress-Bytes,$0.285 per GB of log data delivered to S3 for the first 10TB - EU (Frankfurt),84.65,9.26,75.39
CloudWatch,EU (Frankfurt),AmazonCloudWatch EUC1-TimedStorage-ByteHrs,,71.54,66.21,5.3300000000000125
CloudWatch,EU (Frankfurt),AmazonCloudWatch EUC1-TimedStorage-ByteHrs,$0.0324 per GB-mo of log storage - EU (Frankfurt),71.54,66.21,5.3300000000000125
CloudWatch,EU (Frankfurt),AmazonCloudWatch PutLogEvents,,821.79,708.25,113.53999999999996
CloudWatch,EU (Frankfurt),AmazonCloudWatch PutLogEvents,$0.63 per GB custom log data ingested in Standard log class - EU (Frankfurt),449.6,225.66,223.94000000000003
CloudWatch,EU (Frankfurt),AmazonCloudWatch PutLogEvents,$0.63 per GB of vended logs ingested in Standard log class for the first 10TB - EU (Frankfurt),372.19,482.59,-110.39999999999998
CloudWatch,EU (Ireland),,,0.61,0.61,0.0
CloudWatch,EU (Ireland),AmazonCloudWatch EU-TimedStorage-ByteHrs,,0.53,0.52,0.010000000000000009
CloudWatch,EU (Ireland),AmazonCloudWatch EU-TimedStorage-ByteHrs,$0.03 per GB-mo of log storage - EU (Ireland),0.53,0.52,0.010000000000000009
CloudWatch,EU (Ireland),AmazonCloudWatch EUW2-TimedStorage-ByteHrs,,1.29,1.29,0.0
CloudWatch,EU (Ireland),AmazonCloudWatch EUW2-TimedStorage-ByteHrs,$0.0315 per GB-mo of log storage - EU (London),1.29,1.29,0.0
CloudWatch,EU (Ireland),AmazonCloudWatch PutLogEvents,,0.08,0.09,-0.009999999999999995
CloudWatch,EU (Ireland),AmazonCloudWatch PutLogEvents,$0.57 per GB custom log data ingested in Standard log class - EU (Ireland),0.08,0.09,-0.009999999999999995
CloudWatch,EU (Ireland),EU (London),,1.29,1.29,0.0
CloudWatch,US East (N. Virginia),,,2.51,2.53,-0.020000000000000018
CloudWatch,US East (N. Virginia),Amazon CloudWatch,,2.4,2.4,0.0
CloudWatch,US East (N. Virginia),Amazon CloudWatch,$0.10 per alarm metric month (standard resolution) - US East (Northern Virginia),2.4,2.4,0.0
CloudWatch,US East (N. Virginia),AmazonCloudWatch PutLogEvents,,0.07,0.08,-0.009999999999999995
CloudWatch,US East (N. Virginia),AmazonCloudWatch PutLogEvents,$0.50 per GB custom log data ingested in Standard log class - US East (Northern Virginia),0.07,0.08,-0.009999999999999995
CloudWatch,US East (N. Virginia),AmazonCloudWatch USE1-TimedStorage-ByteHrs,,0.04,0.05,-0.010000000000000002
CloudWatch,US East (N. Virginia),AmazonCloudWatch USE1-TimedStorage-ByteHrs,$0.03 per GB-mo of log storage - US East (Northern Virginia),0.04,0.05,-0.010000000000000002
CloudWatch,US East (N. Virginia),AmazonCloudWatch USE2-TimedStorage-ByteHrs,,0.02,0.02,0.0
CloudWatch,US East (N. Virginia),AmazonCloudWatch USE2-TimedStorage-ByteHrs,$0.03 per GB-mo of log storage - US East (Ohio),0.02,0.02,0.0
CloudWatch,US East (N. Virginia),US East (Ohio),,0.02,0.02,0.0
CloudWatch,US West (Oregon),,,0.21,0.22,-0.010000000000000009
CloudWatch,US West (Oregon),AmazonCloudWatch PutLogEvents,,0.07,0.08,-0.009999999999999995
